model_name,method,train_env,test_env,config,params,nmse_mean,nmse_std,n_seeds,nmse_values
Adapter_InF_dim16,Adapter,InF,InF,dim16,131072,-19.3015,0.2033,5,"[-19.218421936035156, -19.642847061157227, -19.114286422729492, -19.21918487548828, -19.312847137451172]"
Adapter_InF_dim16,Adapter,InF,InH,dim16,131072,-19.1781,0.1934,5,"[-19.177528381347656, -19.489463806152344, -18.985336303710938, -19.053743362426758, -19.184288024902344]"
Adapter_InF_dim16,Adapter,InF,UMi,dim16,131072,-18.5442,1.0348,5,"[-19.32776641845703, -19.325756072998047, -19.241634368896484, -17.333415985107422, -17.49236297607422]"
Adapter_InF_dim16,Adapter,InF,UMa,dim16,131072,-13.9310,4.0999,5,"[-15.470108985900879, -16.865161895751953, -7.775997638702393, -11.859748840332031, -17.68399429321289]"
Adapter_InF_dim16,Adapter,InF,RMa,dim16,131072,-14.9665,3.7567,5,"[-15.618429183959961, -17.77748680114746, -8.916037559509277, -14.239307403564453, -18.28119659423828]"
Adapter_InF_dim32,Adapter,InF,InF,dim32,262144,-18.6467,0.1902,5,"[-18.56829261779785, -18.976659774780273, -18.489187240600586, -18.583829879760742, -18.615528106689453]"
Adapter_InF_dim32,Adapter,InF,InH,dim32,262144,-18.5524,0.1934,5,"[-18.52876091003418, -18.851215362548828, -18.338302612304688, -18.44414520263672, -18.599411010742188]"
Adapter_InF_dim32,Adapter,InF,UMi,dim32,262144,-18.0157,0.9302,5,"[-18.64156723022461, -18.751771926879883, -18.687206268310547, -16.930011749267578, -17.067981719970703]"
Adapter_InF_dim32,Adapter,InF,UMa,dim32,262144,-13.0027,4.2438,5,"[-14.392037391662598, -15.984410285949707, -6.701959609985352, -10.832510948181152, -17.102458953857422]"
Adapter_InF_dim32,Adapter,InF,RMa,dim32,262144,-13.7648,4.0414,5,"[-14.507613182067871, -16.780588150024414, -7.419309139251709, -12.601055145263672, -17.51531410217285]"
Adapter_InF_dim64,Adapter,InF,InF,dim64,524288,-17.7296,0.1800,5,"[-17.642704010009766, -18.037254333496094, -17.57000732421875, -17.69142723083496, -17.706584930419922]"
Adapter_InF_dim64,Adapter,InF,InH,dim64,524288,-17.6527,0.1787,5,"[-17.61956214904785, -17.918550491333008, -17.448074340820312, -17.555978775024414, -17.72154998779297]"
Adapter_InF_dim64,Adapter,InF,UMi,dim64,524288,-17.1983,0.8358,5,"[-17.791566848754883, -17.795560836791992, -17.83747100830078, -16.24301528930664, -16.32392692565918]"
Adapter_InF_dim64,Adapter,InF,UMa,dim64,524288,-12.5591,4.0345,5,"[-14.063061714172363, -15.36020278930664, -6.49864387512207, -10.544590950012207, -16.32908058166504]"
Adapter_InF_dim64,Adapter,InF,RMa,dim64,524288,-13.3702,3.8027,5,"[-14.064386367797852, -16.22278594970703, -7.296829700469971, -12.49507999420166, -16.77188491821289]"
Adapter_InF_dim8,Adapter,InF,InF,dim8,65536,-19.7388,0.2107,5,"[-19.658348083496094, -20.074567794799805, -19.522432327270508, -19.645767211914062, -19.79285430908203]"
Adapter_InF_dim8,Adapter,InF,InH,dim8,65536,-19.5833,0.2052,5,"[-19.573925018310547, -19.923751831054688, -19.39165496826172, -19.458654403686523, -19.56869888305664]"
Adapter_InF_dim8,Adapter,InF,UMi,dim8,65536,-18.8981,1.0821,5,"[-19.782840728759766, -19.69049835205078, -19.57976531982422, -17.604394912719727, -17.83296775817871]"
Adapter_InF_dim8,Adapter,InF,UMa,dim8,65536,-14.4457,4.0583,5,"[-16.091472625732422, -17.28166961669922, -8.27457046508789, -12.496095657348633, -18.08474349975586]"
Adapter_InF_dim8,Adapter,InF,RMa,dim8,65536,-15.7749,3.5343,5,"[-16.42704200744629, -18.416601181030273, -9.98431396484375, -15.303988456726074, -18.742673873901367]"
Adapter_InH_dim16,Adapter,InH,InF,dim16,131072,-19.4413,0.2029,5,"[-19.37080955505371, -19.782489776611328, -19.246553421020508, -19.36813735961914, -19.43866539001465]"
Adapter_InH_dim16,Adapter,InH,InH,dim16,131072,-19.4256,0.1898,5,"[-19.396148681640625, -19.677879333496094, -19.18198013305664, -19.336177825927734, -19.535993576049805]"
Adapter_InH_dim16,Adapter,InH,UMi,dim16,131072,-18.6393,0.9616,5,"[-19.411190032958984, -19.39910125732422, -19.198209762573242, -17.476032257080078, -17.711864471435547]"
Adapter_InH_dim16,Adapter,InH,UMa,dim16,131072,-13.3623,4.4506,5,"[-14.777655601501465, -16.393339157104492, -6.737500190734863, -11.151579856872559, -17.751636505126953]"
Adapter_InH_dim16,Adapter,InH,RMa,dim16,131072,-14.2473,4.1938,5,"[-15.024982452392578, -17.286945343017578, -7.7126383781433105, -12.949585914611816, -18.262365341186523]"
Adapter_InH_dim32,Adapter,InH,InF,dim32,262144,-18.7376,0.2052,5,"[-18.64937400817871, -19.09006118774414, -18.555679321289062, -18.694900512695312, -18.697933197021484]"
Adapter_InH_dim32,Adapter,InH,InH,dim32,262144,-18.7512,0.1805,5,"[-18.70625114440918, -18.953773498535156, -18.520357131958008, -18.662830352783203, -18.91287612915039]"
Adapter_InH_dim32,Adapter,InH,UMi,dim32,262144,-18.0234,0.8919,5,"[-18.701549530029297, -18.763166427612305, -18.541736602783203, -16.929513931274414, -17.181255340576172]"
Adapter_InH_dim32,Adapter,InH,UMa,dim32,262144,-12.3059,4.6201,5,"[-13.655491828918457, -15.428048133850098, -5.549593925476074, -9.873589515686035, -17.02289390563965]"
Adapter_InH_dim32,Adapter,InH,RMa,dim32,262144,-13.0814,4.4368,5,"[-13.835930824279785, -16.342117309570312, -6.301276206970215, -11.485017776489258, -17.442832946777344]"
Adapter_InH_dim64,Adapter,InH,InF,dim64,524288,-17.9662,0.1949,5,"[-17.853614807128906, -18.301769256591797, -17.81008529663086, -17.938539505004883, -17.927154541015625]"
Adapter_InH_dim64,Adapter,InH,InH,dim64,524288,-17.9571,0.1784,5,"[-17.886817932128906, -18.121124267578125, -17.745492935180664, -17.8680362701416, -18.16396141052246]"
Adapter_InH_dim64,Adapter,InH,UMi,dim64,524288,-17.4119,0.7403,5,"[-17.91161346435547, -18.050317764282227, -17.884353637695312, -16.51971435546875, -16.693668365478516]"
Adapter_InH_dim64,Adapter,InH,UMa,dim64,524288,-12.1045,4.3441,5,"[-13.49287223815918, -15.029716491699219, -5.707253456115723, -9.836986541748047, -16.45563507080078]"
Adapter_InH_dim64,Adapter,InH,RMa,dim64,524288,-12.7384,4.2322,5,"[-13.514609336853027, -15.910087585449219, -6.176962375640869, -11.351223945617676, -16.739276885986328]"
Adapter_InH_dim8,Adapter,InH,InF,dim8,65536,-19.8768,0.2077,5,"[-19.794387817382812, -20.211889266967773, -19.661195755004883, -19.802000045776367, -19.91457176208496]"
Adapter_InH_dim8,Adapter,InH,InH,dim8,65536,-19.7975,0.1939,5,"[-19.774412155151367, -20.1024227142334, -19.604209899902344, -19.665096282958984, -19.8414306640625]"
Adapter_InH_dim8,Adapter,InH,UMi,dim8,65536,-18.9815,1.0850,5,"[-19.950841903686523, -19.815814971923828, -19.519359588623047, -17.66621971130371, -17.95505142211914]"
Adapter_InH_dim8,Adapter,InH,UMa,dim8,65536,-13.1103,4.6668,5,"[-14.559802055358887, -16.21642303466797, -6.255829811096191, -10.672292709350586, -17.847354888916016]"
Adapter_InH_dim8,Adapter,InH,RMa,dim8,65536,-13.9689,4.5264,5,"[-14.840616226196289, -17.212888717651367, -7.1519999504089355, -12.114046096801758, -18.525196075439453]"
Adapter_RMa_dim16,Adapter,RMa,InF,dim16,131072,-18.6402,0.4521,5,"[-18.586421966552734, -18.977449417114258, -18.043607711791992, -19.181411743164062, -18.412076950073242]"
Adapter_RMa_dim16,Adapter,RMa,InH,dim16,131072,-18.1888,0.7246,5,"[-18.229904174804688, -19.10404396057129, -18.667858123779297, -17.49577522277832, -17.44650650024414]"
Adapter_RMa_dim16,Adapter,RMa,UMi,dim16,131072,-16.6543,1.0007,5,"[-17.547027587890625, -17.15546417236328, -17.404672622680664, -15.799606323242188, -15.364514350891113]"
Adapter_RMa_dim16,Adapter,RMa,UMa,dim16,131072,-13.3044,3.1301,5,"[-14.946708679199219, -15.674219131469727, -8.34677791595459, -12.066372871398926, -15.487789154052734]"
Adapter_RMa_dim16,Adapter,RMa,RMa,dim16,131072,-18.7421,3.7360,5,"[-19.970178604125977, -22.403587341308594, -12.746694564819336, -17.81827163696289, -20.771617889404297]"
Adapter_RMa_dim32,Adapter,RMa,InF,dim32,262144,-18.0427,0.3648,5,"[-17.92506217956543, -18.32759666442871, -17.556093215942383, -18.475820541381836, -17.928998947143555]"
Adapter_RMa_dim32,Adapter,RMa,InH,dim32,262144,-17.4955,0.5351,5,"[-17.611597061157227, -18.101802825927734, -17.881454467773438, -16.96368980407715, -16.91883087158203]"
Adapter_RMa_dim32,Adapter,RMa,UMi,dim32,262144,-15.9755,0.7896,5,"[-16.460296630859375, -16.579633712768555, -16.560914993286133, -15.411901473999023, -14.864758491516113]"
Adapter_RMa_dim32,Adapter,RMa,UMa,dim32,262144,-12.8225,2.9452,5,"[-14.165517807006836, -15.107264518737793, -8.053311347961426, -11.93081283569336, -14.855348587036133]"
Adapter_RMa_dim32,Adapter,RMa,RMa,dim32,262144,-18.6258,3.7368,5,"[-19.965084075927734, -22.832759857177734, -12.791725158691406, -17.701059341430664, -19.838157653808594]"
Adapter_RMa_dim64,Adapter,RMa,InF,dim64,524288,-17.3265,0.3922,5,"[-17.29202651977539, -17.531879425048828, -16.835805892944336, -17.860445022583008, -17.112241744995117]"
Adapter_RMa_dim64,Adapter,RMa,InH,dim64,524288,-16.5514,0.9831,5,"[-16.797998428344727, -17.516862869262695, -17.33368682861328, -15.92342472076416, -15.185269355773926]"
Adapter_RMa_dim64,Adapter,RMa,UMi,dim64,524288,-15.0117,0.4679,5,"[-15.388506889343262, -15.401636123657227, -15.13839340209961, -14.853536605834961, -14.2763032913208]"
Adapter_RMa_dim64,Adapter,RMa,UMa,dim64,524288,-12.3195,2.8151,5,"[-13.287588119506836, -14.336555480957031, -7.734232425689697, -11.63852596282959, -14.600739479064941]"
Adapter_RMa_dim64,Adapter,RMa,RMa,dim64,524288,-19.2655,4.0518,5,"[-20.341861724853516, -22.632171630859375, -12.928461074829102, -17.84356117248535, -22.581256866455078]"
Adapter_RMa_dim8,Adapter,RMa,InF,dim8,65536,-18.3298,0.4613,5,"[-18.497425079345703, -18.58589744567871, -17.6700382232666, -18.831541061401367, -18.06433868408203]"
Adapter_RMa_dim8,Adapter,RMa,InH,dim8,65536,-17.6727,0.8560,5,"[-17.921846389770508, -18.621427536010742, -18.247791290283203, -16.968137741088867, -16.604095458984375]"
Adapter_RMa_dim8,Adapter,RMa,UMi,dim8,65536,-16.3193,1.0320,5,"[-17.12518882751465, -16.66687774658203, -17.310077667236328, -15.5712308883667, -14.923367500305176]"
Adapter_RMa_dim8,Adapter,RMa,UMa,dim8,65536,-13.2381,2.9825,5,"[-14.804594039916992, -15.566909790039062, -8.503490447998047, -12.08697509765625, -15.228374481201172]"
Adapter_RMa_dim8,Adapter,RMa,RMa,dim8,65536,-18.5406,3.6335,5,"[-19.672508239746094, -21.844924926757812, -12.67325496673584, -17.64992904663086, -20.862529754638672]"
Adapter_UMa_dim16,Adapter,UMa,InF,dim16,131072,-20.1236,0.2308,5,"[-20.029483795166016, -20.477266311645508, -19.911531448364258, -19.971420288085938, -20.22840118408203]"
Adapter_UMa_dim16,Adapter,UMa,InH,dim16,131072,-20.0640,0.2009,5,"[-20.04392433166504, -20.36071014404297, -19.7972469329834, -20.029376983642578, -20.088504791259766]"
Adapter_UMa_dim16,Adapter,UMa,UMi,dim16,131072,-19.3130,1.0370,5,"[-20.227188110351562, -20.04822540283203, -19.89785385131836, -17.9873104095459, -18.404521942138672]"
Adapter_UMa_dim16,Adapter,UMa,UMa,dim16,131072,-15.0410,3.9375,5,"[-16.663833618164062, -17.658771514892578, -9.138776779174805, -13.015742301940918, -18.727705001831055]"
Adapter_UMa_dim16,Adapter,UMa,RMa,dim16,131072,-16.7938,3.0306,5,"[-17.180479049682617, -18.740720748901367, -11.68405532836914, -16.9912166595459, -19.372676849365234]"
Adapter_UMa_dim32,Adapter,UMa,InF,dim32,262144,-20.6534,0.2294,5,"[-20.5546932220459, -20.99903106689453, -20.407512664794922, -20.55072021484375, -20.755216598510742]"
Adapter_UMa_dim32,Adapter,UMa,InH,dim32,262144,-20.5966,0.1970,5,"[-20.56300926208496, -20.92876434326172, -20.475692749023438, -20.426084518432617, -20.589595794677734]"
Adapter_UMa_dim32,Adapter,UMa,UMi,dim32,262144,-19.5682,1.1077,5,"[-20.600528717041016, -20.37145233154297, -20.107858657836914, -18.173931121826172, -18.58744239807129]"
Adapter_UMa_dim32,Adapter,UMa,UMa,dim32,262144,-15.1520,4.0153,5,"[-16.870235443115234, -17.823637008666992, -9.139330863952637, -13.053947448730469, -18.873001098632812]"
Adapter_UMa_dim32,Adapter,UMa,RMa,dim32,262144,-17.1077,3.2762,5,"[-17.63352394104004, -19.45233726501465, -11.699079513549805, -16.846078872680664, -19.90756607055664]"
Adapter_UMa_dim64,Adapter,UMa,InF,dim64,524288,-20.8976,0.2210,5,"[-20.78559684753418, -21.22564697265625, -20.63219451904297, -20.88022232055664, -20.964262008666992]"
Adapter_UMa_dim64,Adapter,UMa,InH,dim64,524288,-20.8513,0.2174,5,"[-20.965675354003906, -21.163122177124023, -20.766202926635742, -20.59909439086914, -20.762388229370117]"
Adapter_UMa_dim64,Adapter,UMa,UMi,dim64,524288,-19.7549,1.1636,5,"[-20.86421012878418, -20.646377563476562, -20.228527069091797, -18.28954315185547, -18.745615005493164]"
Adapter_UMa_dim64,Adapter,UMa,UMa,dim64,524288,-15.1978,4.0332,5,"[-16.909975051879883, -17.923429489135742, -9.157577514648438, -13.088879585266113, -18.909347534179688]"
Adapter_UMa_dim64,Adapter,UMa,RMa,dim64,524288,-17.3608,3.4313,5,"[-17.90630531311035, -19.81311798095703, -11.749509811401367, -16.95247459411621, -20.382694244384766]"
Adapter_UMa_dim8,Adapter,UMa,InF,dim8,65536,-20.3503,0.2107,5,"[-20.32737922668457, -20.669239044189453, -20.1031494140625, -20.245361328125, -20.406436920166016]"
Adapter_UMa_dim8,Adapter,UMa,InH,dim8,65536,-20.2074,0.2084,5,"[-20.113327026367188, -20.560853958129883, -20.025856018066406, -20.124216079711914, -20.212581634521484]"
Adapter_UMa_dim8,Adapter,UMa,UMi,dim8,65536,-19.3601,0.9972,5,"[-20.296215057373047, -20.038036346435547, -19.8933048248291, -18.126327514648438, -18.446407318115234]"
Adapter_UMa_dim8,Adapter,UMa,UMa,dim8,65536,-15.0400,3.9461,5,"[-16.748167037963867, -17.60006332397461, -9.07908821105957, -13.071285247802734, -18.701566696166992]"
Adapter_UMa_dim8,Adapter,UMa,RMa,dim8,65536,-17.0289,3.1664,5,"[-17.534788131713867, -19.161361694335938, -11.738117218017578, -16.97801971435547, -19.73202133178711]"
Adapter_UMi_dim16,Adapter,UMi,InF,dim16,131072,-20.0945,0.2248,5,"[-20.008380889892578, -20.454008102416992, -19.86148452758789, -20.002155303955078, -20.146564483642578]"
Adapter_UMi_dim16,Adapter,UMi,InH,dim16,131072,-20.0922,0.1534,5,"[-20.048004150390625, -20.34116554260254, -19.9415225982666, -20.010082244873047, -20.12030029296875]"
Adapter_UMi_dim16,Adapter,UMi,UMi,dim16,131072,-19.3288,1.0854,5,"[-20.327356338500977, -20.110795974731445, -19.883804321289062, -17.97594451904297, -18.346115112304688]"
Adapter_UMi_dim16,Adapter,UMi,UMa,dim16,131072,-14.5562,4.1455,5,"[-16.449729919433594, -17.333772659301758, -8.362427711486816, -12.324581146240234, -18.310697555541992]"
Adapter_UMi_dim16,Adapter,UMi,RMa,dim16,131072,-15.9813,3.6988,5,"[-16.793916702270508, -18.77037239074707, -10.012197494506836, -15.183576583862305, -19.146453857421875]"
Adapter_UMi_dim32,Adapter,UMi,InF,dim32,262144,-19.8473,0.2190,5,"[-19.688793182373047, -20.211008071899414, -19.68876075744629, -19.759756088256836, -19.887958526611328]"
Adapter_UMi_dim32,Adapter,UMi,InH,dim32,262144,-19.8320,0.1699,5,"[-19.7034912109375, -20.07573127746582, -19.67179298400879, -19.774459838867188, -19.934614181518555]"
Adapter_UMi_dim32,Adapter,UMi,UMi,dim32,262144,-19.1842,1.0098,5,"[-20.016212463378906, -20.022123336791992, -19.668853759765625, -17.853424072265625, -18.36037826538086]"
Adapter_UMi_dim32,Adapter,UMi,UMa,dim32,262144,-13.4152,4.5881,5,"[-15.028076171875, -16.415477752685547, -6.714012145996094, -10.88766860961914, -18.030988693237305]"
Adapter_UMi_dim32,Adapter,UMi,RMa,dim32,262144,-14.3307,4.3573,5,"[-15.310402870178223, -17.51706314086914, -7.712207794189453, -12.555427551269531, -18.558486938476562]"
Adapter_UMi_dim64,Adapter,UMi,InF,dim64,524288,-19.5186,0.2201,5,"[-19.38851547241211, -19.898834228515625, -19.373170852661133, -19.413068771362305, -19.519372940063477]"
Adapter_UMi_dim64,Adapter,UMi,InH,dim64,524288,-19.6053,0.1497,5,"[-19.511760711669922, -19.715564727783203, -19.40384864807129, -19.623332977294922, -19.772018432617188]"
Adapter_UMi_dim64,Adapter,UMi,UMi,dim64,524288,-18.9587,0.9010,5,"[-19.70514678955078, -19.730501174926758, -19.336606979370117, -17.73307991027832, -18.288284301757812]"
Adapter_UMi_dim64,Adapter,UMi,UMa,dim64,524288,-12.8926,4.6924,5,"[-14.255327224731445, -15.982999801635742, -6.0832014083862305, -10.361289978027344, -17.780315399169922]"
Adapter_UMi_dim64,Adapter,UMi,RMa,dim64,524288,-13.6208,4.5552,5,"[-14.519853591918945, -16.859390258789062, -6.794795036315918, -11.6865816116333, -18.243324279785156]"
Adapter_UMi_dim8,Adapter,UMi,InF,dim8,65536,-20.1737,0.2240,5,"[-20.083520889282227, -20.533336639404297, -19.997535705566406, -20.008981704711914, -20.24512481689453]"
Adapter_UMi_dim8,Adapter,UMi,InH,dim8,65536,-20.1859,0.1365,5,"[-20.167213439941406, -20.37265396118164, -20.00478744506836, -20.135662078857422, -20.249300003051758]"
Adapter_UMi_dim8,Adapter,UMi,UMi,dim8,65536,-19.5277,1.1008,5,"[-20.505775451660156, -20.352773666381836, -20.091384887695312, -18.130859375, -18.557594299316406]"
Adapter_UMi_dim8,Adapter,UMi,UMa,dim8,65536,-14.9283,4.0721,5,"[-16.734169006347656, -17.684837341308594, -8.834965705871582, -12.76406192779541, -18.623516082763672]"
Adapter_UMi_dim8,Adapter,UMi,RMa,dim8,65536,-16.4872,3.3125,5,"[-17.037675857543945, -19.025413513183594, -10.969100952148438, -16.333728790283203, -19.070329666137695]"
LoRA_InF_r16,LoRA,InF,InF,r16,78640,-18.6195,0.1438,5,"[-18.622560501098633, -18.834880828857422, -18.433019638061523, -18.58111572265625, -18.625858306884766]"
LoRA_InF_r16,LoRA,InF,InH,r16,78640,-18.4948,0.2180,5,"[-18.620391845703125, -18.812889099121094, -18.2770938873291, -18.371055603027344, -18.3924503326416]"
LoRA_InF_r16,LoRA,InF,UMi,r16,78640,-17.8594,0.8503,5,"[-18.47541046142578, -18.516090393066406, -18.442012786865234, -16.82938575744629, -17.034021377563477]"
LoRA_InF_r16,LoRA,InF,UMa,r16,78640,-13.6708,3.9340,5,"[-15.092635154724121, -16.422813415527344, -7.813592433929443, -11.632736206054688, -17.392253875732422]"
LoRA_InF_r16,LoRA,InF,RMa,r16,78640,-14.7702,3.5441,5,"[-15.5704927444458, -17.37760353088379, -8.956718444824219, -14.224720001220703, -17.721479415893555]"
LoRA_InF_r20,LoRA,InF,InF,r20,98304,-18.6015,0.1438,5,"[-18.60205078125, -18.814102172851562, -18.410903930664062, -18.568283081054688, -18.61200523376465]"
LoRA_InF_r20,LoRA,InF,InH,r20,98304,-18.4892,0.2077,5,"[-18.60977554321289, -18.7899169921875, -18.274099349975586, -18.378997802734375, -18.39298439025879]"
LoRA_InF_r20,LoRA,InF,UMi,r20,98304,-17.8783,0.8618,5,"[-18.515024185180664, -18.531274795532227, -18.467544555664062, -16.822566986083984, -17.055313110351562]"
LoRA_InF_r20,LoRA,InF,UMa,r20,98304,-13.7649,3.9030,5,"[-15.241150856018066, -16.47281837463379, -7.911276817321777, -11.792064666748047, -17.407108306884766]"
LoRA_InF_r20,LoRA,InF,RMa,r20,98304,-14.8573,3.5007,5,"[-15.707345962524414, -17.4387149810791, -9.073065757751465, -14.389420509338379, -17.678110122680664]"
LoRA_InF_r4,LoRA,InF,InF,r4,19660,-19.3152,0.1324,5,"[-19.32225227355957, -19.512638092041016, -19.140233993530273, -19.29694175720215, -19.304006576538086]"
LoRA_InF_r4,LoRA,InF,InH,r4,19660,-19.2250,0.2918,5,"[-19.486801147460938, -19.59520149230957, -18.99427604675293, -19.05013084411621, -18.99863624572754]"
LoRA_InF_r4,LoRA,InF,UMi,r4,19660,-18.4512,0.9442,5,"[-19.27688217163086, -19.126028060913086, -19.000205993652344, -17.30998992919922, -17.542766571044922]"
LoRA_InF_r4,LoRA,InF,UMa,r4,19660,-14.0680,4.0593,5,"[-15.453286170959473, -16.900962829589844, -7.929978847503662, -12.160062789916992, -17.89590072631836]"
LoRA_InF_r4,LoRA,InF,RMa,r4,19660,-15.7324,3.5347,5,"[-16.483943939208984, -18.142990112304688, -9.87082290649414, -15.408893585205078, -18.755455017089844]"
LoRA_InF_r8,LoRA,InF,InF,r8,39320,-18.9929,0.1387,5,"[-18.996841430664062, -19.208953857421875, -18.822811126708984, -18.9605770111084, -18.975473403930664]"
LoRA_InF_r8,LoRA,InF,InH,r8,39320,-18.8683,0.2446,5,"[-19.03662872314453, -19.214284896850586, -18.656253814697266, -18.701202392578125, -18.732933044433594]"
LoRA_InF_r8,LoRA,InF,UMi,r8,39320,-18.1799,0.9081,5,"[-18.895584106445312, -18.879392623901367, -18.744218826293945, -17.09115219116211, -17.289306640625]"
LoRA_InF_r8,LoRA,InF,UMa,r8,39320,-13.9937,3.9308,5,"[-15.439824104309082, -16.776357650756836, -8.083261489868164, -12.039695739746094, -17.629440307617188]"
LoRA_InF_r8,LoRA,InF,RMa,r8,39320,-15.3640,3.5133,5,"[-16.133148193359375, -17.739065170288086, -9.51162052154541, -15.102106094360352, -18.334209442138672]"
LoRA_InH_r16,LoRA,InH,InF,r16,78640,-18.8224,0.1728,5,"[-18.78907012939453, -19.10291290283203, -18.631420135498047, -18.766292572021484, -18.822206497192383]"
LoRA_InH_r16,LoRA,InH,InH,r16,78640,-18.8375,0.1673,5,"[-18.911890029907227, -18.9875431060791, -18.586246490478516, -18.750001907348633, -18.951974868774414]"
LoRA_InH_r16,LoRA,InH,UMi,r16,78640,-18.1753,0.8348,5,"[-18.831575393676758, -18.890283584594727, -18.6095027923584, -17.154870986938477, -17.390363693237305]"
LoRA_InH_r16,LoRA,InH,UMa,r16,78640,-13.7825,3.9691,5,"[-15.266295433044434, -16.54084014892578, -7.838689804077148, -11.76706314086914, -17.499404907226562]"
LoRA_InH_r16,LoRA,InH,RMa,r16,78640,-14.7963,3.6623,5,"[-15.576099395751953, -17.47327423095703, -8.825287818908691, -14.17440414428711, -17.932279586791992]"
LoRA_InH_r20,LoRA,InH,InF,r20,98304,-18.7430,0.1801,5,"[-18.703292846679688, -19.029823303222656, -18.53876495361328, -18.68149185180664, -18.761857986450195]"
